Name,Address,City,Province/State,Country,Postal/Zip Code,Phone,Fax,Email,Website,Hours,Latitude,Longitude,Click and Collect (Y/N),Dealer (Y/N),Rental Station (Y/N),Service Center (Y/N)
Cycles Clemer,18 rue Bernard Palissy,Beauvais,,FR,60000,+33 3 44 45 54 73,,cyclesclemer@outlook.com,http://www.cyclesclemer.fr,"Monday: 14h30-19h00
Tuesday: 9h30-13h00// 14h00-19h00
Wednesday: 9h30-13h00// 14h00-19h00
Thursday: 9h30-13h00// 14h00-19h00
Friday: 9h30-13h00// 14h00-19h00
Saturday: 9h30-13h00// 14h00-19h00",49.41499,2.11494,N,Y,N,Y
Cycles Passion,18 PLACE LOUIS LUMIERE,Boulogne Sur Mer,,FR,62200,+33 3 21 31 34 41 ,,cyclespassion.bike@gmail.com ,http:// www.cyclespassion.bike ,"Monday: closed
Tuesday:  9h00-12h00 // 14h00-19h00
Wednesday:  9h00-12h00 // 14h00-19h00
Thursday:  9h00-12h00 // 14h00-19h00
Friday:  9h00-12h00 // 14h00-19h00
Saturday: ",50.72146,1.60878,N,Y,N,Y
Citibike La Rochelle,"12, Rue saint Nicolas",La Rochelle,,FR,17000,+33 9 54 57 65 68,,larochelle@citibike.fr,http://www.citibike.fr,"Monday: 14h00-19h00
Tuesday: 10h00-19h00
Wednesday: 10h00-19h00
Thursday: 10h00-19h00
Friday: 10h00-19h00
Saturday: 10h00-19h00",46.160098,-1.149948,N,Y,N,Y
Cycles Expert City,1 Rue Chicogné,RENNES,Bretagne,FR,35000,+33 2 99 69 59 82,, contact@cyclexperts-ecity.com,https://www.cyclexperts-ecity.com/,"Monday: 10h00-13h00 // 14h00-19h00
Tuesday: 10h00-13h00 // 14h00-19h00
Wednesday: 10h00-13h00 // 14h00-19h00
Thursday: 10h00-13h00 // 14h00-19h00
Friday: 10h00-13h00 // 14h00-19h00
Saturday: 10h00-18h00",48.108075,-1.68298,N,Y,N,Y
2RADFABRIK Fürth GmbH & Co. KG,Gründlacherstraße 303,Fürth,Bavaria,DE,90765,+49 911 30088033,,fuerth@2radfabrik.de,http://www.2radfabrik.de,"Montag - Samstag: 10 - 19 Uhr

Achtung: November bis Februar abweichende Öffnungszeiten:
Montag geschlossen
Dienstag - Freitag: 10 - 19 Uhr
Samstag: 10 - 16 Uhr
",49.60308,10.99005,Y,Y,N,Y
Rabl GmbH & Co. KG,Gewerbestr. 22,Markt Indersdorf,Bavaria,DE,85229,+49 8136 89 32 03,,mail@rabl-gmbh.de,https://rabl-gmbh.de/,"Montag: 13:00 - 18:00 Uhr
Dienstag - Freitag: 9:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",48.346693,11.379265,Y,Y,N,Y
Radsport Riedmann,Marktheidenfelder Str. 19,Karbach,Bavaria,DE,97842,+49 9391 5121,,robert@radsport-riedmann.de,https://www.radsport-riedmann.de/,"Montag: 15.00 �?18.30 Uhr
Dienstag: 15.00 �?18.30 Uhr
Mittwoch: geschlossen
Donnerstag: 9.00 - 13.00* und 15.00 �?18.30 Uhr
Freitag: 9.00 - 13.00* und 15.00 �?18.30 Uhr
Samstag: 9.00 �?13.00 Uhr

*März bis Oktober Vormittags geöffnet",49.865016,9.637984,Y,Y,N,Y
Carle Zweiradfachgeschäft GmbH,Berliner Str. 16,Öhringen,Baden-Wuerttemberg,DE,74613,+49 7941 91760,,info@zweirad-carle.de,https://www.zweirad-carle.de/,"Montag bis Freitag: 9:00 - 12:30 Uhr & 13:30 - 18:30 Uhr
Samstag: 9:00 - 14:00 Uhr""
",49.20024,9.493219,N,Y,N,Y
zweiRAD Botenheim,Wiesenbachstraße 2,Brackenheim,Baden-Wuerttemberg,DE,74336,+49 7135 12274,,info@zweirad-botenheim.de,https://www.zweirad-botenheim.de,"Montag: geschlossen
Dienstag - Freitag: 9:00 - 12:30 Uhr und 14:00 - 18:00 Uhr
Donnerstag: 9:00 - 12:30 Uhr und 14:00 - 20:00 Uhr
Samstag: 9:00 - 13:00 Uhr",49.06639,9.06812,N,Y,N,Y
Toa's Bikes GmbH,Bahnhofstraße 19,Groß-Bieberau,Hessen,DE,64401,+49 6162 81640,,service@toas-bikes.de,https://toas-bikes.de/,"Montag bis Freitag
09:00 bis 18.00 Uhr

Samstag
09:00 bis 13:00 Uhr",49.802014,8.826692,N,Y,N,Y
Zweirad Stellwag GmbH,Neckarstraße 24,Erbach,Hessen,DE,64711,+49 6062 3163,,Stellwag2-Rad@t-online.de,https://www.zweirad-stellwag.de/,"Montag bis Freitag: 9:00 - 12:30 Uhr und 14:00 - 18:00 Uhr
Mittwoch 9:00 - 12:30 Uhr 
Samstag: 9:00 - 13:00 Uhr",49.653935,8.995798,N,Y,N,Y
Radwerk Würzburg,Ringstraße 1,Güntersleben,Bavaria,DE,97261,+49 151 128 66 2 45,,sw@radwerk-wuerzburg.de,https://www.radwerk-wuerzburg.de/,"1. Oktober bis 28. Februar
Freitags 14.00 Uhr-16.30 Uhr

oder gerne ganzjährig nach vorheriger
telefonischer Terminvereinbarung unter 0175 11 64 667
(erreichbar Mo-Fr 16 Uhr bis 18 Uhr)",49.865518,9.904951,N,Y,N,Y
Sport Café,Kesselweg 9,Hardheim-Gerichtstetten,Baden-Wuerttemberg,DE,74736,+49 151 27101041,,,,"Freitag: nur nach Absprache  
Termine bitte telefonisch oder per Whats App vereinbaren, täglich von 17-19 Uhr 
Samstag: 10 bis 14 Uhr",49.531876,9.510999,N,Y,N,Y
57 Bikestore,Blaufelder Straße 6,Crailsheim,Baden-Wuerttemberg,DE,74564,+49 7951 472 100 5,,info@fahrrad-outlet-crailsheim.de,https://fahrrad-outlet-crailsheim.de/,"Sommer (April-September) 
Montag - Freitag: 09:30 - 19:00 Uhr 
Samstag: 09:30 - 16:00 Uhr

Winter (Oktober-März) 
Montag - Freitag: 9:30  -18:00 Uhr
Samstag: 09:30 - 16:00 Uhr",49.141063,10.073547,N,Y,N,Y
Zweiradsport Geyer ,Gartenstraße 30,Bad Wurzach,Baden-Wuerttemberg,DE,88410,+49 7564 85893  0,,info@zweiradsport-geyer.de,https://www.zweiradsport-geyer.de/,"Montag - Mittwoch, Freitag
09:00 - 12:30 Uhr
14:00 - 18:00 Uhr

Donnerstag
09:00 - 12:30
14:00 - 19:00

Samstag
08:30 - 13:00 Uhr",47.907409,9.894703,N,Y,N,Y
Radsport Baier,Kirchplatz 5,Mistendorf,Bayern,DE,96129,+49 95 05 80 47 90,,info@radsport-baier.de,https://www.radsport-baier.de/,"Montag: geschlossen
Dienstag - Freitag: 10:00 - 18:00 Uhr
Donnerstag: 10 :00- 19:00 Uhr
Samstag: 9:00 - 13:00 Uhr",49.871422,11.045324,N,Y,N,Y
Motorrad Welink,Am Schleifweg 2,Oberschwarzach,Bayern,DE,97516,+49 9382 3191071,,info@motorrad-welink.de,https://www.motorrad-welink.de/,"Montag: 09:00 - 12:30 und 14:00 - 18:00 Uhr
Dienstag: 09:00 - 12:30 und 14:00 - 18:00 Uhr
Mittwoch: 09:00 - 12:30 Uhr
Donnerstag: 09:00 - 12:30 und 14:00 - 18:00 Uhr
Freitag: 09:00 - 12:30 und 14:00 - 18:00 Uhr
Samstag: 09:00 - 12:00 Uhr",49.857795,10.408671,N,Y,N,Y
Amends Fahrradladen,Am Setzen 109,Gochsheim,Bayern,DE,97469,+49 9721 4771498,,info@amends-fahrradladen.de,http://www.amends-fahrradladen.de,"Montag: 12:30 - 18:00 Uhr
Dienstag: geschlossen 
Mittwoch - Freitag: 12:30 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",50.022926,10.274327,Y,Y,N,Y
Tip-Top-Bikes,Martin-Ofner-Straße 5,Burgkirchen an der Alz,Bayern,DE,84508,+49 8679 3069497,,kontakt@tip-top-bikes.de,https://www.tip-top-bikes.de/,"Dienstag - Freitag: 09:00 Uhr - 12:00 Uhr und 14:00 Uhr - 17:00 Uhr
Samstag: 09:00 Uhr - 12:00 Uhr",48.167,12.730485,N,Y,N,Y
Bike & Tools,Am Moosrain 5,Pliening,Bayern,DE,85652,+49 89 23076378,,info@bike-and-tools.com,https://bike-and-tools.com/,"März - Oktober
Dienstag - Freitag: 09:00 Uhr - 12:00 Uhr und 13:00 Uhr - 19:00 Uhr
Samstag: 09:00 Uhr - 16:00 Uhr

November - Februar
Dienstag - Freitag: 10:00 Uhr - 12:00 Uhr und 13:00 Uhr - 18:00 Uhr
Samstag: 09:00 Uhr - 16:00 Uhr",48.189297,11.780013,N,Y,N,Y
Fahrrad Riemey - Fa. Hans Schüssler e.K,Hauptstraße 2,Zeitlofs,Bayern,DE,97799,+49 160/99263515,,info@fahrrad-riemey.de,https://www.fahrrad-riemey.de/,"Montag: geschlossen
Dienstag - Freitag: 10:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",50.271538,9.71125,N,Y,N,Y
Radsport Hungerhuber,Schwarzauer Str. 66,Trostberg,Bayern,DE,83308,+49 8621 90242 0,,info@hungerhuber.de,https://www.hungerhuber.de/,"Montag, Dienstag Donnerstag & Freitag: 9:00 �?12:00 Uhr & 13:00 �?18:00 Uhr
Mittwoch: 13:00 �?18:00 Uhr 
Samstag: 9:00 �?12:00 Uhr",48.01786,12.536671,Y,Y,N,Y
Rad & Sportservice Wall,Hauptstraße 19,Wenzenbach,Bayern,DE,93173,+49 9407 5529127,,info@rad-sportservice.de,https://www.rad-sportservice.de/,"Montag:	geschlossen
Dienstag - Freitag: 9:00 �?18:00 Uhr
Samstag: 9:00 �?13:00 Uhr
",49.07676,12.197998,N,Y,N,Y
Sport Cycling Meindl,Konrad-Mayer-Str. 31,Sulzbach-Rosenberg,Bayern,DE,92237,+49 9661 3048833,,info@sportcycling.de,https://www.sportcycling.de,"Montag: geschlossen
Dienstag - Freitag: 14:00 - 18:00 Uhr
Samstag: 09:00 - 13:00 Uhr",49.498969,11.751081,N,Y,N,Y
MD Bikes,Am Marktplatz 9,Ebermannstadt,Bayern,DE,91320,+49 9194 5956,, info@md-bikes.de,https://www.md-bikes.de/,"Montag: geschlossen
Dienstag: nur nach Vereinbarung!
Mittwoch: 10:00 Uhr - 17:00 Uhr
Donnerstag & Freitag: 10:00 Uhr - 18:00 Uhr
Samstag: 10:00 Uhr - 13:00 Uhr",49.780373,11.187268,N,Y,N,Y
2Rad Jessen,Schäfflerstraße 12,Kelheim,Bayern,DE,93309,+49 9441 504 850,,info@my2rad.de,https://www.my2rad.de,"Montag - Freitag: 9:00 - 18:30 Uhr
Samstag: 9:00 - 14:00 Uhr",48.920647,11.883671,N,Y,N,Y
Inn-Bike GmbH,Klinkstraße 21,Kufstein,Tirol,AT,6330,+43 5372 63547,,info@inn-bike.at,https://www.e-bikes4you.at,"Montag, Dienstag, Donnerstag und Freitag: 9:00 - 18:00 Uhr
Mittwoch: geschlossen, telefonisch 10:00 - 18:00 Uhr
Samstag: 9:00 - 13:00 Uhr",47.575122,12.151941,N,Y,N,Y
Beim Felix,Nürnberger Straße 14,Veitsbronn,Bayern,DE,90587,+49 911 6336 9701,,info@beimfelix.de,,"Montag bis Freitag: 9:00 - 12:00 Uhr & 13:00 - 16:30 Uhr
Samstag: nach Absprache",49.510053,10.885209,N,N,N,Y
Fahrrad Wappler,Königsstraße 52,Werdau,Sachsen,DE,08412,+49 3761 82540,,fahrrad.wappler@t-online.de,https://www.fahrrad-wappler.de,"Montag - Mittwoch: 9:30 - 12:00 Uhr & 13:30 - 18:00 Uhr
Donnerstag: geschlossen
Freitag: 9:30 - 12:00 Uhr & 13:30 - 18:00 Uhr
Samstag: 9:30 - 12:00 Uhr",50.74101,12.375678,N,Y,N,Y
E-Bike Bavaria,Frauenberg 21,Grafenau,Bayern,DE,94481,+49 8552 7769267,,info@e-bike-bavaria.de,https://www.e-bike-bavaria.de,"Montag, Dienstag, Donnerstag und Freitag: 10:00 - 18:00 Uhr
Mittwoch und Samstag: 9:00 - 13:00 Uhr",48.856422,13.384417,Y,Y,N,Y
Zweirad-Center Durach,Achenerweg 11,Isny,Bayern,DE,88316,+49 7562 245 6,,info@fahrrad-durach.de,https://www.zweirad-center-durach.de/,"Montag - Freitag: 09:00 - 12:30 Uhr & 14:00 - 18:00 Uhr
Mittwoch: Nachmittag: geschlossen
Samstag: 09:00 - 13:00 Uhr",47.698169,10.043733,N,Y,N,Y
Leichter fahren Elektrorad-Zentrum,Dietzhölzstraße 6,Eschenburg,Hessen,DE,35713,+49 2774  917 917 0,,info@leichter-fahren.de,https://leichter-fahren.de/,"Von März bis Oktober:
Montag - Freitag: 9:30 - 18:00 Uhr
Samstag: 9:30 - 13:00 Uhr

Von November bis Februar:
Montag: geschlossen
Dienstag - Freitag: 14:00 - 18:00 Uhr
Samstag: 10:00 - 13:00 Uhr",50.789759,8.326859,N,Y,N,Y
Intersport Harms - House of Bike,Marktstraße 521,Neukirchen,Tyrol,AT,5741,+43 656 521664,,bikeshop@harms.at,https://www.intersport-harms.at/de/shops/Bikeshop-Neukirchen_sl_794,"Öffnungszeiten Sommer 13.03.2024 - 09.11.2024

Montag - Freitag: 08:30 - 12:00 Uhr und 14:30 - 18:00 Uhr
Samstag: 08:30 - 12:00 Uhr",47.253752,12.28736,N,Y,N,Y
Citibike Dunkerque,"60, Route de Furnes ",Coudekerque Branche,,FR,59210,+33 3 28 61 39 75 ,,cote-dopale@citibike.fr,https://www.citibike.fr/fr/,"Dienstag - Freitag: 10:00 - 13:00 & 14:30 - 19:00 Uhr
Samstag: 10:00 - 19:00 Uhr",51.03652,2.39782,N,Y,N,Y
KW-Bikes,Bürgermeister-Graf-Ring 21,Geretsried,Bayern,DE,82538,+49 8171 6399220,,,http://www.kw-bikes.de,"Montag, Dienstag, Donnerstag & Freitag: 09:30 - 13:00 Uhr & 14:00 - 18:30 Uhr
Samstag: 09:30 - 14:00 Uhr
Mittwoch: geschlossen",47.886467,11.436066,N,Y,N,Y
Hennecke Zweirad Meisterbetrieb,Zwinger 15,Öttingen,Bayern,DE,86732,+49 91082 4468,,robert.hennecke@t-online.de,,"Montag - Freitag: 9:00 - 12:15 Uhr & 14:00 - 18:00 Uhr
Samstag: 9:00 - 12:00 Uhr
",48.953359,10.607102,N,N,N,Y
Schölzhorn Sport GmbH,Fuggerstraße 3,Sterzing,Trentino-Alto Adige,IT,39049,+39 472 671 376,,info@skiprofi.it,https://www.rentandgo-shop.it,Montag - Freitag: 10:00 - 17:00 Uhr,46.886633,11.404588,N,Y,N,Y
Bikehouse Bühler,Hauptstraße 98,Mosbach,Baden-Wuerttemberg,DE,74821,+49 6261 899 376,,mail@bikehouse-buehler.de,https://www.bikehouse-buehler.de,"Montag bis Freitag: 9:00 - 13:00 Uhr & 14:00 - 18:00 Uhr
Samstag: 9:30 - 14:00 Uhr",49.354539,9.147852,N,Y,N,Y
SKITOP BADIA,Str. San Linert 3,Badia,Trentino-Alto Adige,IT,39036,+39 471 839685,,info@skitop.it,https://biketop.skitop.it/de/,Montag - Sonntag: 8:30 - 12:00 Uhr & 15:00 - 19:00 Uhr,46.609543,11.895356,N,Y,N,Y
